parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
83555,BIS-DECYLTETRADECANYL IPDI/PEG-795 COPOLYMER,"FILM FORMING, VISCOSITY CONTROLLING",Agent filmogène,,1,2,BIS-DECYLTETRADECANYL IPDI,Molécule chimique,Moyenne (26-50),26,Filmogène
91633,BIS-DICAPROLACTONE ETHOXYACRYLATE DIGLYCOL/IPDI COPOLYMER,NAIL CONDITIONING,Soin ongles,,1,2,BIS-DICAPROLACTONE ETHOXYACRYLATE DIGLYCOL,Molécule chimique,Moyenne (26-50),42,Soin ongles
90772,BIS-DODECYLHEXADECYL DIMER DILINOLEATE/PROPANEDIOL COPOLYMER,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,1,2,BIS-DODECYLHEXADECYL DIMER DILINOLEATE,Molécule chimique,Moyenne (26-50),38,Émollient
91137,"BIS-HEA POLY(1,4-BUTANEDIOL)-9/IPDI COPOLYMER",NAIL CONDITIONING,Soin ongles,,1,2,"BIS-HEA POLY(1,4-BUTANEDIOL)-9",Molécule chimique,Moyenne (26-50),30,Soin ongles
91789,BIS-HEA POLYCAPROLACTONE DIOL/IPDI COPOLYMER,BINDING,Autre,72162-39-1,1,2,BIS-HEA POLYCAPROLACTONE DIOL,Molécule chimique,Moyenne (26-50),29,Autre
91138,BIS-HEA POLYDIETHYLENEGLYCOL ADIPATE/IPDI COPOLYMER,NAIL CONDITIONING,Soin ongles,,1,2,BIS-HEA POLYDIETHYLENEGLYCOL ADIPATE,Molécule chimique,Moyenne (26-50),36,Soin ongles
91906,"BIS-HEA/HEMA POLY(1,4-BUTANEDIOL)-41/1,2-BUTANEDIOL/IPDI COPOLYMER",NAIL CONDITIONING,Soin ongles,,1,4,BIS-HEA,Molécule chimique,Très courte (≤15),7,Soin ongles
91906,"BIS-HEA/HEMA POLY(1,4-BUTANEDIOL)-41/1,2-BUTANEDIOL/IPDI COPOLYMER",NAIL CONDITIONING,Soin ongles,,2,4,"HEMA POLY(1,4-BUTANEDIOL)-41",Molécule chimique,Moyenne (26-50),28,Soin ongles
91906,"BIS-HEA/HEMA POLY(1,4-BUTANEDIOL)-41/1,2-BUTANEDIOL/IPDI COPOLYMER",NAIL CONDITIONING,Soin ongles,,3,4,"1,2-BUTANEDIOL",Molécule chimique,Très courte (≤15),14,Soin ongles
89209,BIS-HEMA IPDI/PEG-4 COPOLYMER,FILM FORMING,Agent filmogène,,1,2,BIS-HEMA IPDI,Molécule chimique,Très courte (≤15),13,Filmogène
86606,"BIS-HEMA POLY(1,4-BUTANEDIOL)-22/IPDI COPOLYMER",BINDING,Autre,,1,2,"BIS-HEMA POLY(1,4-BUTANEDIOL)-22",Molécule chimique,Moyenne (26-50),32,Autre
89208,"BIS-HEMA POLY(1,4-BUTANEDIOL)-9/IPDI COPOLYMER",FILM FORMING,Agent filmogène,,1,2,"BIS-HEMA POLY(1,4-BUTANEDIOL)-9",Molécule chimique,Moyenne (26-50),31,Filmogène
86605,BIS-HEMA POLYNEOPENTYL GLYCOL ADIPATE/IPDI COPOLYMER,BINDING,Autre,82339-16-0,1,2,BIS-HEMA POLYNEOPENTYL GLYCOL ADIPATE,Molécule chimique,Moyenne (26-50),37,Autre
85389,BIS-HYDROXY/METHOXY AMODIMETHICONE,HAIR CONDITIONING,Soin capillaire,831241-93-1,1,2,BIS-HYDROXY,Molécule chimique,Très courte (≤15),11,Soin capillaire
54694,BIS-HYDROXYETHOXYPROPYL DIMETHICONE/IPDI/SORBITAN STEARATE COPOLYMER,FILM FORMING,Agent filmogène,668988-06-5,2,3,IPDI,Molécule chimique,Très courte (≤15),4,Filmogène
91783,"BIS-HYDROXYETHYL ACRYLATE POLY(1,4-BUTANEDIOL)-9/IPDI COPOLYMER",FILM FORMING,Agent filmogène,,1,2,"BIS-HYDROXYETHYL ACRYLATE POLY(1,4-BUTANEDIOL)-9",Molécule chimique,Moyenne (26-50),48,Filmogène
91790,"BIS-HYDROXYETHYL ACRYLATE POLY(1,4-BUTANEDIOL)-9/TMHDI COPOLYMER",FILM FORMING,Agent filmogène,,1,2,"BIS-HYDROXYETHYL ACRYLATE POLY(1,4-BUTANEDIOL)-9",Molécule chimique,Moyenne (26-50),48,Filmogène
