parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
86742,METHOXY PEG/PPG-25/4 DIMETHICONE,"EMULSIFYING, EMULSION STABILISING",Émulsifiant,,2,3,PPG-25,PEG/PPG,Très courte (≤15),6,Émulsifiant
78185,METHOXY PEG/PPG-7/3 AMINOPROPYL DIMETHICONE,HAIR CONDITIONING,Soin capillaire,298211-68-4,2,3,PPG-7,PEG/PPG,Très courte (≤15),5,Soin capillaire
89067,METHYL METHACRYLATE/PEG/PPG-4/3 METHACRYLATE CROSSPOLYMER,FILM FORMING,Agent filmogène,,3,4,PPG-4,PEG/PPG,Très courte (≤15),5,Filmogène
85159,OCTYLDODECYL/PPG-3 MYRISTYL ETHER DIMER DILINOLEATE,"EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,2,2,PPG-3 MYRISTYL ETHER DIMER DILINOLEATE,PEG/PPG,Moyenne (26-50),38,Émollient
57874,OLIVE OIL PEG/PPG-3/1 ESTERS,"EMOLLIENT, EMULSIFYING",Émulsifiant,,2,3,PPG-3,PEG/PPG,Très courte (≤15),5,Émulsifiant
82350,PASSIFLORA EDULIS/PASSIFLORA INCARNATA SEED OILS PEG-8 ESTERS,"HAIR CONDITIONING, SKIN CONDITIONING",Soin capillaire,,2,2,PASSIFLORA INCARNATA SEED OILS PEG-8 ESTERS,PEG/PPG,Moyenne (26-50),43,Soin capillaire
90584,PEG-10 ACRYLATE/PERFLUOROHEXYLETHYL ACRYLATE COPOLYMER,FILM FORMING,Agent filmogène,,1,2,PEG-10 ACRYLATE,PEG/PPG,Très courte (≤15),15,Filmogène
57425,PEG-10/LAURYL DIMETHICONE CROSSPOLYMER,"STABILISING, SURFACTANT, VISCOSITY CONTROLLING",Tensioactif,,1,2,PEG-10,PEG/PPG,Très courte (≤15),6,Tensioactif
77454,PEG-100/IPDI COPOLYMER,"BINDING, EMULSION STABILISING, VISCOSITY CONTROLLING",Émulsifiant,39318-45-1,1,2,PEG-100,PEG/PPG,Très courte (≤15),7,Émulsifiant
86418,"PEG-12/POLY(1,2-BUTANEDIOL)-12 METHOXY ISOPROPYL ETHER",SURFACTANT,Tensioactif,,1,2,PEG-12,PEG/PPG,Très courte (≤15),6,Tensioactif
77565,PEG-15 COCAMINE OLEATE/PHOSPHATE,EMULSIFYING,Émulsifiant,,1,2,PEG-15 COCAMINE OLEATE,PEG/PPG,Courte (16-25),22,Émulsifiant
57573,PEG-15/LAURYL DIMETHICONE CROSSPOLYMER,"STABILISING, VISCOSITY CONTROLLING",Agent de viscosité,,1,2,PEG-15,PEG/PPG,Très courte (≤15),6,Agent de viscosité
85998,PEG-15/LAURYL POLYDIMETHYLSILOXYETHYL DIMETHICONE CROSSPOLYMER,VISCOSITY CONTROLLING,Agent de viscosité,,1,2,PEG-15,PEG/PPG,Très courte (≤15),6,Agent de viscosité
57575,PEG-150/DECYL ALCOHOL/SMDI COPOLYMER,"FILM FORMING, VISCOSITY CONTROLLING",Agent filmogène,,1,3,PEG-150,PEG/PPG,Très courte (≤15),7,Filmogène
57576,PEG-150/STEARYL ALCOHOL/SMDI COPOLYMER,"FILM FORMING, VISCOSITY CONTROLLING",Agent filmogène,,1,3,PEG-150,PEG/PPG,Très courte (≤15),7,Filmogène
57577,PEG-16 CETYL/OLEYL/STEARYL/LANOLIN ALCOHOL ETHER,"EMULSIFYING, SURFACTANT",Tensioactif,,1,4,PEG-16 CETYL,PEG/PPG,Très courte (≤15),12,Tensioactif
77809,PEG-18 GLYCERYL OLEATE/COCOATE,EMULSIFYING,Émulsifiant,,1,2,PEG-18 GLYCERYL OLEATE,PEG/PPG,Courte (16-25),22,Émulsifiant
57653,PEG-180/LAURETH-50/TMMG COPOLYMER,VISCOSITY CONTROLLING,Agent de viscosité,,1,3,PEG-180,PEG/PPG,Très courte (≤15),7,Agent de viscosité
57654,PEG-180/OCTOXYNOL-40/TMMG COPOLYMER,VISCOSITY CONTROLLING,Agent de viscosité,,1,3,PEG-180,PEG/PPG,Très courte (≤15),7,Agent de viscosité
78046,PEG-20 METHYL GLUCOSE SESQUICAPRYLATE/SESQUICAPRATE,EMULSIFYING,Émulsifiant,,1,2,PEG-20 METHYL GLUCOSE SESQUICAPRYLATE,PEG/PPG,Moyenne (26-50),37,Émulsifiant
82818,PEG-200 HYDROGENATED CASTOR OIL/IPDI COPOLYMER,SKIN CONDITIONING,Autre,207620-98-2,1,2,PEG-200 HYDROGENATED CASTOR OIL,PEG/PPG,Moyenne (26-50),31,Autre
78067,PEG-22/DODECYL GLYCOL COPOLYMER,"EMULSIFYING, STABILISING",Émulsifiant,78336-31-9,1,2,PEG-22,PEG/PPG,Très courte (≤15),6,Émulsifiant
57906,PEG-240/HDI COPOLYMER BIS-DECYLTETRADECETH-20 ETHER,"STABILISING, VISCOSITY CONTROLLING",Agent de viscosité,,1,2,PEG-240,PEG/PPG,Très courte (≤15),7,Agent de viscosité
57916,PEG-3 DICAPRYLATE/CAPRATE,EMULSIFYING,Émulsifiant,,1,2,PEG-3 DICAPRYLATE,PEG/PPG,Courte (16-25),17,Émulsifiant
78222,PEG-3/PPG-2 GLYCERYL/SORBITOL HYDROXYSTEARATE/ISOSTEARATE,EMULSIFYING,Émulsifiant,,1,4,PEG-3,PEG/PPG,Très courte (≤15),5,Émulsifiant
78222,PEG-3/PPG-2 GLYCERYL/SORBITOL HYDROXYSTEARATE/ISOSTEARATE,EMULSIFYING,Émulsifiant,,2,4,PPG-2 GLYCERYL,PEG/PPG,Très courte (≤15),14,Émulsifiant
